sentiment,sentiment_label,Cleaned_Tweet
negative,0,trus mau loe apa antekantek wowo xf0x9fx98x86xf0x9fx98x86
neutral,1,apakah anda jujur percaya allah swt perintahkan penggal kafir adalah tuhan pak lukman
neutral,1,08 for presiden buat para jongos dan antek asing yg menguras bumi pertiwi bersiaplah
negative,0,jancuk pingin gue tabok itu anak
neutral,1,tidak boleh tidur kerana najis akan menjadi nyata
neutral,1,dan orangorang yang kafir dan mendustakan ayatayat kami maka bagi mereka azab yang menghinakan qs al hajj 57
negative,0,ngentot yuk
neutral,1,akupun merasa matanya mengecil setelah lama pakai kacamata dan katanya kalau bangun tidur tambah sipit xf0x9fx98x81
neutral,1,utang 7000 trilyun tapi para kampret yg hidupnya melarat ikut makan kalo cebong udah happy hidupnya gak perlu akting sengsara gitu
negative,0,dulu mercun kecikxc2xb2 lagibunyi tak kuat sngt weiskrg mcmxc2xb2 adebunyi dh m mcm bom
negative,0,ketipu dong mereka duh
neutral,1,ini cebong dungu korban php xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82
neutral,1,klu jaman pak harto anak berprestasi di perhatikannklu jaman rezim skrg yg lebay yg di panggil ke istananrezim anehn
negative,0,cebong mana ngerti
negative,0,pagi2 udh ky kntl
negative,0,iya anjir tau wkwkw masa iya gua masih suka sm dia
neutral,1,ayo kita ajak mas goen beralih dari penyembah allah swt benci kafir jadi pembakar kemenyan
neutral,1,mencari huruf hijaiyahdalanak islambersama jamal laeli  assalamualaikum adikadik   mari kita lihat
neutral,1,cc  mau 2 periode rakyat sndri d phk trs import jutaan tka chinamending lu prgi jauh2 dri nkri krn negri ini ga butuh pengkhianat yg mengorbankan rakyatnya demi kepentingan dan golongannya sndrin
neutral,1,iya soalnya loe ga tahu junjungan loe toh membantai 200 lebih orang timtim peristiwa santa cruz juga menculik aktivis ga tahu di mana skrang loe ga sadar kalau junjunganmu itu penjahat internasional d
negative,0,imut titit nya di hidung
positive,2,bom takjil
negative,0,kpk panggil sederet mantan anggota dpr terkait ektp
positive,2,udah sipit ininga bisa disipitin lagi nn xcdxa1xc2xb0 xcax96xccxaf xcdxa1xc2xb0nxc2xa0 xe3x81x8fxe3x80x80xe3x80x80xe3x81xb8nxe3x80x80xe3x80x80xc2xa0 xe3x80x89
neutral,1,dimaklumin aja namanya juga kampret semua serba terbalik hidupnya juga terbalik menggelantung wajar kalau segala pemikirannya juga terbalik kepalapun bau pesing karena kencingpun harus terbalik pula membasahi kepalanya pesing tak selalu
negative,0,paparan kapolres bikin kapolda kepri yakin pilkada tanjungpinang aman dan netral
negative,0,dibalik insiden heli jatuh pt imip pekerjakan 3000 wn china
neutral,1,bunyi klik mouse suara ketikan keyboard musik hampir 8 jam non stop mata perih bokong panas lengan nyilu n
neutral,1,gd x clntop x bomnseungri x ralinengary x jihyo tp ini udh mustahil
neutral,1,bantu jawab wkwk kata putri rima sama daniel sibuk ngurusin osis jd ga ikut join nah klo aya kayaknya makin sibuk jd makelar ngurusin dua anak tuyul alias gil dan oj sotau bgt aku
negative,0,selamat pagi jawaban  atas politisasi puisi yang menimpa dirinya   calon gubernur jawa tengah ganjar pranowo tidak ingin informasi hoaks menjadi arus utama informasi yang diterima masyarakat dalam masa pilkada
neutral,1,apa hubungannya dgn munafik kalian kitabnya dihina laporkan dia kepolisian waspadai cebong kafir yg ngakungaku islam
neutral,1,rt  1 saya ada satu cerita dari seorang cowok yang tinggal di china sebelum saya mulai bercerita saya cuma mau pesan jadixe2x80xa6
neutral,1,alah bullshit tai kotok
neutral,1,ahok versi pakpahan  trims kepada semua pihak yg udah ciduk bajingan ini
negative,0,penciuman pak jokowi memang tajam kalau soal pencarian uang upss salah penghutangan uang salut dengan
negative,0,ngeri bangsaku si pki biadab itu ingin bangkit  tolak dan bubarkan
neutral,1,pada sabtu 2142018 pagi masyarakat adat baduy akan kembali melanjutkan perjalanan menuju kantor gubernur banten di kawasan pusat pemerintahan provinsi banten kp3b di curug kota serang  dm
negative,0,bubarkan saja pansus kpkkalo perlu buat polingrakyat di luar parlemen biar yg menentukan bubarkan pansus kpk
neutral,1,trimakasih ya allah engkau tlah tunjukan kebesaranmu engkau tlah membukakan mata hatiku yg buta krn cintatrimakasih tuhan engkau masih menolongku
negative,0,iya udah liat gedek banget anjir sama bapanya
neutral,1,barisan gus sholah baguss pulau madura sudah merapatkan diri untuk memenangkan pasangan calon gubernur khofifah indar parawansa dan emil elistianto dardak baguss
neutral,1,sarap pasti udh punya cucu segudang
neutral,1,rezim sipil yg mengerikan saat ini bs kita lihat pd kepemimpinan seorg rezim sok rkyt pdhl sesungguhnya anti rakyat dan umat islam
negative,0,rt  ini orang kebiasaan jilat ludah sendiri bik malu  kami hormat sby tapi tidak buzzer tolol satu ini
neutral,1,topik pembicaraan cebong dan bani hoax itu loncatxc2xb2 yanndari prestasi babihok apa  gak dijawab malah ke tanah abang ta dikasih contoh ta yg baik malah mintaxc2xb2 yg buruknya
neutral,1,karir yg cemerlang di tnidan terperangkap di rejim yg penuh dustanselamat hari lahir
negative,0,lost respect untuk kesekian kalinya buat agency yg lo banggain buat artis yang lo banggain nkelakuan tai kucing di kasih nyawa sih kea gini nnlo di tampol duit sama lee sooman mau di tampol lamborgini sama gd mau di tampol sama material
neutral,1,masalah dia i penulis ucapan kad raya cina tu ellooo
neutral,1,5 ragam seni dalam budaya batak toba
positive,2,penyerapan dana desa pada tahun 2015 dan 2016 diprioritaskan untuk pembangunan infrastruktur di tahun 2017 ini menurutnya penyerapan dana desa diprioritaskan untuk percepatan ekonomi desa
negative,0,i penat lah edit tetiba cacat weh jajahaahha
negative,0,lw yang dungudunia tahu itu
neutral,1,buka twitter lagi demi informasi karena dengerdenger ada benda mencurigakan yang diduga bom ditemukan di barel ui stay save kang warteg enak kang cilung anak kost amp warga sekitar barel
negative,0,kamu tau gak  sejak kenal kamu bawaannya pengen belajar terus deh belajar jadi yang terbaik buat kamu
neutral,1,kata mama orang sombong itu temenya setan jadi jangan salahin gue kalo gue gak mau temenan sama orang sombong kek lo
neutral,1,kbnyakan kencing onta mahluk satu ini emosi mulu dari td gua liat dasar sumbu pendek si tidur kebalik
negative,0,indonesia makin mundur presiden nya siapa ya mas mas fitnah pakde jokowi
neutral,1,ini apa sih lmao anak anak kecil dan anak anak baru ini kok ya tengil banget  gak tau apa2 jg main plas plos aja lieur ih jempol kalian punya congor apa begimana
neutral,1,hanya antek dan kaki tangan komunis yg tak punya hati perut
negative,0,gini aja tempeng aja tuh bocah yg ngancam presiden liat gimana reaksi para kacung nya
negative,0,dia ga pernah denger hindu bali sama kristen jawa ya wkwkwk
negative,0,udah jelek budek lagii  nga
negative,0,kampungan
neutral,1,membohongi rakyat ada harga mahal yg harus dibayar  saatnya anda mempersiapkan diri menghadapi seluruh kasus2 korupsi dari solo hingga dki  anda sangat tak layak jadi presiden ri
neutral,1,wah berarti pernah makan bareng sama orang yahudi yabenar ngga sih kemana pun mereka singgah suatu tempat kalo makan bawa alat makan sendiri sekedar tanya sepertinya tau tentang orang yahudi
neutral,1,ketika dia udah janji bakalan ngasi nyontek untuk ujian tp pas giliran ujian dia malah pura2 budek
neutral,1,dengar anak belasan tahun bicara tentang banyak tuhan ada tuhan orang islamtuhan orang kristentuhan orang budhatuhan orang hindutuhan orang kejawencuma tuhan orang nitaku sensorkatanya yng suka menghukummembedakancerdas anak ini kupikir
neutral,1,sesaat lagi saksikan panasnya debat publik tujuh pasangan calon bupati dan wakil bupati pilkada aceh selatan 2018 dipandu oleh  mulai pukul 1400 wib live dan eksklusif hanya di inews
neutral,1,bagai rumah bawah ranah yang indah seorang pendiam dan culun walau dengan bakar besar
negative,0,jokowi harap bandara kertajati dongkrak ekonomi jawa barat
negative,0,xc3x99dah ga ad yng bisa di percaya lagiyng anti aseng
negative,0,drama banget lu onta
negative,0,sintingnnbaca dimana
negative,0,ganti aja ama prabowo kelasnya cuman dubes
neutral,1,lidah buaya lidah mertua gelombang cintannya tanaman hias adalah sarana curhat favorit botanist trubus mania
negative,0,dan pak  bilang ini pencitraan
negative,0,tulisan lu gua g bisa dipahami ama gua soalnya otak gua bukan otak otak autis gak kek yg bikin thread gblknya ampe selkulit matii lnjt boleh
neutral,1,ni cara bicara org msh ingusan bicara ny sdh sngt ngawur dan keterlaluan dan akhir ny gue di block banci lo
neutral,1,apakah allah swt datang menolong bang fahri jika tidak berhenti solat tak ada gunanya
negative,0,taruna itu maham perek
neutral,1,gambar masakan tayahla pki filter doo asam pedas pn da nmpk mcm curry xf0x9fx98x85  nasib baik aku bc caption xf0x9fx98xa3
neutral,1,astaga kejam sekali tuduhannyannahahaha tidak begitu yang mulia saya benarbenar terjebak di dalam avalonnningin nangis melihat arturia jadi terlalu curiga begini kepadanya hiks hiks
neutral,1,bicara komentar gampang menggunakan bahasa seolah anda tahu sok pintar menilai anis bisa jadi gubernur klo gak isu sara susah menang orang bijak tdk meng olok olok
neutral,1,jayalah korupsi keinginan  utk bubarkan  semacam akan terwujud
neutral,1,barangsiapa mengenal dirinya maka ia akan sibuk memperbaikinya dengan tidak memerdulikan cacat dan aib orang lainnn habib luthfi bin yahya
negative,0,mau aku pamerin jg gk group chat aku sama anak2 cina
neutral,1,langsung ditampakkan oleh alloh subhanahu wataala secara kontan om padahal alloh subhanahu wataala melarang kita untuk berputus asa malah bangsa kafir yang lebih paham mengenai hal itu
neutral,1,lakilaki hebat untuk
neutral,1,takbir wan sambil lempar bom alohmubarbar mayat ayat quran timteng bikin muslim radicals tolol tanpa otak
negative,0,terkadang jatuh cinta itu bisu hanya bicara pada secarik puisi yang sembunyi di balik makna yang akan dikenangnya sendiri
neutral,1,sakedap tehnpagi2 ini baru nyadarnberarti bisa dibilang sayap kiri israel lebih pro perdamaian dgn palestina dibanding sayap kanannpadahal katanya mah makin ke kanan itu lebih agamais makin kiri lebih komunis xf0
negative,0,mudah2an keluarga si gerung kena bom
negative,0,bangke lu yen cabul
neutral,1,10 tahun sby ga berani nutup alexis 35 tahun jokowi ga berani nutup alexis  harus gubernur indonesia juga yg turun tangan pilihan prabowo  mantap
neutral,1,adih ipey maafkan kesalahan urg itu pey  nanti sama aku kasoh perek mau ngga
negative,0,buat status jomblo nya udah terlalu lama giliran ada cowok yg koment stts nya sok cuekncewek bajingan dahak biawak kadal aer
neutral,1,otak ga geser aja udeh sarapapalagi ke geser yekan ntar bahaya apaan sih aku kerja beneran kok elang liatin em sambil masih usep palanya cewe apaan coba kamu nyantol aja aku udah bersyukur
neutral,1,mereka yg berteriak dan mnakuti rakyat dgn mnyebut presiden lama bisa jd 2 periode kalau lawannya prabowo itu bs d pastikan mereka adlh agen ganda mereka dibayar utk mpromosikan tkoh ttntu spy rakyat jd bingung dan terpecah suaranya
negative,0,ih silit apaan kampay
neutral,1,siapa bilang harga minyak dunia naik kalau nga bisa jadi dirut pertamina mundur saja
neutral,1,itu yang disalami jokowi kok kaya ferdinan antek sby ya
neutral,1,ðððtak berambisi mimin bisa aja judulnya ih
positive,2,2019 ini saat terbaik utk merebut kembali kedaulatan dari asing aseng proxy smg para tokoh amp pendukungnya tdk skdr pentingkan egonyanarah pecah belah suara menuju poros ke 3  saling klaim kelayakan diri sungguh hal yg menguntungkan inc
neutral,1,muslim indonesia lbh maju berhenti nyembah2 allah swt yg ngoceh aku jatuhkan ketakutan ke hati orang2 kafir 812
neutral,1,asli ane ngakak smpe skt perut dan mau pipis ane paham maksud dan yg di definisikan oleh rocky gerung kok org ini malah soksok an lapor2 ceritanya sih mau bikin gebrakan supaya dibilang membela agamatapi
neutral,1,orang cuma main bola dihubungkan ama agama bzz
neutral,1,aduhhh bencong  nyerang apa cong  gak kebalik rumpi deh lonte lanang ini dapur apa cong yg jelas dong jd banci jangan separo2 kalah sama anaknya duda yg jd designer di ln lo xf0x9fx98x82xf0x9fxa4xaaxf0x9fx99x8bx
positive,2,panasnya edan
neutral,1,kesatuan dalam gereja katolik bersifat dinamis selaras dalam perbedaan dan mengikuti sikon dan perkembangan zaman salah satu manifestasinya adalah dispensasi untuk kawin campur pasangan katolik dan non katolik
neutral,1,anda percaya muhammad nabi atau tidak tuliskan argumentasi anda ke pak  agar tak ada keraguan lagi
neutral,1,kalau tdk diambil dibilang tdk bisa nasionalisasi asset antek asing kalau diambil pakai nama pribadi dan keluarga patut kita curigai dan nanya uang darimana tapi dengan tweet ini saya jadi sadar betapa pintarnya pemerintahan di
neutral,1,gak perduli  replyku nyambung apa enggak  yg penting
negative,0,ngangkang selebar lebarnya mainin memek sendiri depan kaca lemari
neutral,1,indons  alhamdulillah ya allah udah nyelamatin anak2 thailand nnthai   yg nyelamatin kita manusia2 kapir bukan tuhan lu kontol
negative,0,situ juga sarap berarti anjer
neutral,1,bro  ente sebut kitab suci fiksi berarti semua agama bkn dari wahyu pernyataan spt ini mutlak scr harfiah dan filosofis melanggar keyakinan umat beragama konstitusi dan norma agama ente ini penista semua agama yg paling kotor
neutral,1,mendengar jawaban ituibnul mubarak dalam dianya selalu memohon demikian ya allah tunjukilah ia dalam islam dan beberapa saat kemudian si yahudi itupun dengan izin allahakhirnya masuk islam
negative,0,manusia2 tolol semua pada takut ahok keluar kasian bangat hidup kalian disana bengitu idiot and stupid
negative,0,stupid question kalo mau ngentod gak usah puasa goblog
neutral,1,sejauh yang saya baca dari artikel di internet hanya jumlah lembar nya saja yang berbeda untuk menandai kebutuhan masing masing orang kalau sering ke luar negri ya pake 48 kalo gak sering ya 24 dan beberapa negara tetangga
neutral,1,bahkan etnic uyhgur dipaksa tinggalkan budaya uyghur menjadi etnic han jelas ini kekonyolan mana bisa orang dari suku apa dipaksa pindah suku bahkan tragisnya banyak warga uyghur jadi korban penjualan organ tubuh  dieksekusisetelaj sebelumnya dicap
negative,0,aku cuma sekali aja tau dosen ilmu budaya tapi sudah sepuh pengen gitu ketemu penasaran
positive,2,rakyat menolak keras jika indonesia dipimpin oleh komplotan mafia amp bajingan ini
neutral,1,isu 98 udah nongol bentar lg isu pki xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82
neutral,1,era sby ada pembangunan di papua ada juga hambalang tuh pembangunan pln mangkrak brp banyak
negative,0,rt     iya betul si vivin tai  dasar pelakorngaku alexa alda drpd rico bajxe2x80xa6
positive,2,
neutral,1,amanat dari 119 ribu ulama by name dan by address kalau ada yg bilang cak imin ambisius itu ngopinya kurang jauhð
neutral,1,rmol itu apa gw juga bisa bikin berita indonesia menang piala dunia kasih link yg kredibel alah pecundang culun yg nampilin identitas aslinya aja gk berani kok banyak bacot nyet xf0x9fx98x82 hp gw buatan korea cuy ngahahaha
neutral,1,tempat sesat cari jalan mau pgi maktab gaya xf0x9fx98x82 jln shortcut situ tapi ditutup sebab construction nya ni xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82 hambar gila u turn u turn sini xf0x9fx98x86xf0x9fx92x94
negative,0,maunya indonesia seperti singapura kasih cina berkuasa dasar cebong otak reklamasi brekekekekek
neutral,1,biasa bani coli ngga beda jauh sm junjungan dan kawan2nya haha
positive,2,ikuti  untuk mengetahui informasi terkini mengenai ekonomi keuangan perbankan investasi saham di indonesia dan dunia hari ini
neutral,1,pengkhianatan pki membunuh para jendral pki keblinger kata bungkarnobubarkan pki turunkan harga2 dan bubarkan kabinet tritura
neutral,1,ihh yg bener anjirr jahat elu mah bodo bodo
negative,0,rt  mash kentut bau babi
neutral,1,produksi indonesia ini pak presiden joko widodo semua ritel dan mall seharusnya pindah ke plastik kayak gini   saya pilih belanja di super karena dia punya aksi2 lingkungan dan 3r setiap
neutral,1,kenyataan bos kita mah nga suka bikin hoax seperti bani nya nabi ngahok xf0x9fx98x8a
negative,0,brp sayang ngentot sma kmu
positive,2,bangke xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82
neutral,1,kne jaga hati pemimpin kafir harbi kau ka
neutral,1,abang ipar adam ni pun bangkai dasar penunggang agama
negative,0,cina telah menguasai ekonomi dan media massa ayo usir dari indonesia
neutral,1,guru nanak mengajarkan spiritualitassesuatu yg sifatnya universal dan krnnya ada dlm ajaran islam hindu dsb seperti kebanyakan penduduk peradaban sindhuhindu sjk dulu beliau bisa menerima semua jalan krn itu beliau memanggilnya allah
negative,0,enak buat gesek2 memek xf0x9fx98xb3
neutral,1,seulgi bilang gak punya mata barat yang ada kelopak matanya ketimuran style banget yang sipit dan seulgi pikir itulah poin yang paling menarik bagi dia
neutral,1,dr bambang noorsena  ajaran kristen yang sering disalahpahami oleh agama lain  khotbah kristen
positive,2,kau pikir aku ni kapir sangat ke hanat
neutral,1,pada akhirnya yang asing akan kembali asing
positive,2,rt  yg banyak bicara itu  trus yg bakar sekolah gimana
negative,0,jablay mulu anjer wkwk
neutral,1,jd ingat congor oknum nasdem klo si joko kalah di 2019 indonesia bubar
neutral,1,mungkin mereka sumbu pendek lelah pak ð
negative,0,udah lu jgn panik gitu ahok si kutil babi bakal tumbang kok di putaran kedua teruskan cuapcuap mu di sosmed gak ngaruh
negative,0,sinyal kartu three cacad amat ganti pake kartu gapleh aja gitu ya
negative,0,akun fb asma dewi pnyebar fitnah sara pemilihan kepala daerahdki dpenuhi foto brsama sjumlah politisi dantaranya anies sandi
negative,0,usir cina dari indonesia
negative,0,fb tai anjing lah
negative,0,allahu akbar jokowi akan kenalkan islam moderat di ktt ulama dan cendekiawan muslim dunia
neutral,1,rt  wahai orangorang yang beriman masuklah ke dalam islam secara keseluruhan dan janganlah kamu ikuti langkah setan qsxe2x80xa6
neutral,1,online cuma dapet pajak dr incm persh online nyeyg dapet income nha hny dr iklaniuran premium beberapa produklost tax brp dibanding usaha di mall nyerap ten kerjaonline apa yg diserap bloon jgn dipelihara wi
negative,0,pasti bani kampret yang menyamar xf0x9fx98x92nnlemparin minyak babi
neutral,1,pada sabtu 2142018 pagi masyarakat adat baduy akan kembali melanjutkan perjalanan menuju kantor gubernur banten di kawasan pusat pemerintahan provinsi banten kp3b di curug kota serang
negative,0,cara2 dungu dilakukan rezim dungunnklop
neutral,1,semoga istiqomah xf0x9fx91x8d  banyak orang soleh di malam hari dan menjadi kafir di pagi hari begitupin sebaliknyamenjadi istiqomah itu perjuangan dan hidayah alloh itu rahasia semua makhluk berhak mendapatkannya
negative,0,rt  rapopo jagajaga siapa tahu muncul pki perjuangan alias pki plus
negative,0,lebih baik dibenci namun menjadi diri sendiri daripada menjadi munafik untuk di sukai orang
neutral,1,pao an tui adalah sisi kelam masyarakat cina di era awal kemerdekaan indonesiaxe2x80x99xe2x80x99pernyataan ini ditegaskan mantan wartawan senior republika
neutral,1,ab orangnya tidak sombong dan murah senyum
neutral,1,tetap semangat amp istiqomah bung
neutral,1,rt       slah 1 alasan knp sya mau prsiden baru spy jg malu2in bangsa iniiiixe2x80xa6
neutral,1,kemudian ulangi pandanganmu sekali lagi dan sekali lagi niscaya pandanganmu akan kembali kepadamu tanpa menemukan cacat dan ia pandanganmu dalam keadaan letih
negative,0,udah lama gak on jadi asing sama tl
neutral,1,hah ari melongo sejenak setelah mendengar ucapan orang yang baru saja meneriakinya nnpunten mas di deket situ ada anjing saya enggak
negative,0,kupas tuntas gebuk habis antek antek komunis
neutral,1,hahaha logikanyankontrak habis 2021nminta bantuan bank asing akuisisi sahamnya 51nkeluar asing masuk asingncoba legowo sampai kontrak habis dapat 100 tanpa keluar duit sedikitpunnntah lah ntah siapa yang bermain main
positive,2,charutin menor bom xf0x9fx8cxb9xf0x9fx8fxb4
negative,0,produk dalem negeri dibilang alay produk luar dibilang hypebeast ironi sih giliran urusan negara bilangnya xe2x80x9canti asingxe2x80x9d
negative,0,chirpified ekonomi merosot utang bengkak bumn mau dijual mundur aja pak jokowi
neutral,1,rt   klonjotan kegirangan ngeliat junjungan amp idola loe satu per satu dipanggil polisi t politic_id kapolri
negative,0,dinding kamar jd saksi bisu
neutral,1,menurut kepala badan ekonomi kreatif  triawan munaf  lagu karya ibu sud yang mengisahkan seekor burung yang bersiul tersebut memiliki melodi dan lirik yang riang
negative,0,gembrot bgt
neutral,1,monggo lurd jadwal acara upacara adat dan kirab budaya mbah bergas
negative,0,sok kenal lu kunyuk
neutral,1,2 gus ipul dan mbak puti menciptakan program pkh super untuk melengkapi program keluarga harapan pkh yang dikembangkan presiden jokowi
negative,0,kata lu suruh ceritain geblek
neutral,1,kemenangan anies sandi berbau busuk dan anyir bernanah luka bathin yg terluka oleh penghinaan sara dan ujaran kebencian
neutral,1,cacat sia
neutral,1,kata ulama  barangsiapa yang tidak bersedia amp bermalasan pada bulan rejab  maka di bulan syaaban juga dia akan tetap malas amp di bulan ramadhan dia akan jadi lebih malas
positive,2,kita bikin berita sendiri di medsos media mainstream di kuasai aseng perang opini gunakan hp anda untuk mengembosi berita media mainstream cino
neutral,1,jgn pro asing gitu dong pak jok
negative,0,gapapa sipit juga cantik aku mah xf0x9fx98x86
negative,0,rt  yang ber  yg lagi di   kayaknya sih tailand punya  enjoy gays
negative,0,coba usir cina 100 rakyat nkri tidak ada yg gembel nkri kaya aseng asing trilyunan kayanya krn menguras nkri jadi stop tolol
neutral,1,rt   ini mah pasti salah 1 anggota hti yg sakit hati krn ormas nya di bubarkan amp ga bisa maju
neutral,1,anda didungukan dan diperbudak islam bung tifatul adam hanya dongeng yahudi
neutral,1,emang cebong kalau gak fitnah gak makan kenyang dan kalau gak curang ya gak menang
neutral,1,agar semua perempuan gembrot melangsingkan badan entah kenapa ku tak setuju dengan kalimat ininnbagi ku ejaan cantik itu bukan l a n g s i n g melainkan g e n d u t xf0x9fx98x8annselamat pagi jangan lupa shalat subu
negative,0,hebat kok dipenjara dipenjaranya dijaman  pula
neutral,1,syp dluu donk aseng dibelakangnya xf0x9fx98x81
negative,0,masya suku kampung selamat deklarasi anti hoax amp pilkada 2018 damai
neutral,1,ht dari perindo udah mmpraktekkannya tuh ke msjid2 ke psantren2  huuuft kabuuurr
neutral,1,tbh aku dgn abang like anjing dgn kucing 247 gaduh pernah sekali kiteorg gaduh sampai bertumbuk then dia lari rumah tapi selang sehari baik balik
neutral,1,atok silap tu atok hehehe yg macai tu atok lermacai ph bodoh bangangsy nie cuma rakyat biasa yg akn terus tanya apa yg x tau ke x jelas ke utk dpt penjelasanopsss atok
negative,0,admin tolol di partai tololnpartai tolol untuk orang tolol
neutral,1,yang pasti bukan keluarga pki di negara pancasila yang berbhinneka tunggal ika ini keluarga nya
neutral,1,dalam sambutannya ketua dpd golkar lumajang sudjatmiko menyampaikan bahwa keputusan partai yang menetapkan kofifah indar parawansa sebagai calon gubernur dan emil elestianto dardak sebagai calon wakil gubernur jatim dari partai golkar sudah bulat
neutral,1,memang dasar kampang xf0x9fxa4xa3xf0x9fx98x82
neutral,1,manusia adalah mahluk yang butuh identitas untuk eksistensinya sayang identitas yang seharusnya berasal dari orisinalitas kesadaran diri seringkali dilekatkan secara membabibuta pada halhal remeh di luar dirinya maka identitas diri jadi dangkal
negative,0,im at taman budaya sentul city
negative,0,kejamnya
neutral,1,hahahaha iya bener jugak nndan memang sekolah katolik lebih beragam mulai dari anak pak kebon smp pengusaha ada disana later belakang suku agama apapun diterima di sekolah katolik pernah ngalamin dulu amp ngga berub
neutral,1,subhanallah bahagia rasanya punya pemimpin seperti beliau
neutral,1,aku hanya bs bersyukur pd allah swt dpt presiden yg giat kerja dan mampu mengatasi persoalan2 yg dihadapi dg tetap kerja lurus iklas semata2 demi indonesia yg makin maju sekalipun ramping tetapi energinya luar biasa itu jg krn tdk ada p
neutral,1,mudah untuk melihat seseorang lebih condong ke arah mana di sosial media nyang pertama akunnya perempuan pict nyolong di googlenyang kedua gambar anonymous ga jelas manusia apa kampretnyang ketiga akunnya ada embelembel nama pahlawan dan dr semua itu mereka kaum mca
negative,0,cawapres jokowi 7 orang sekaligus boleh kok tinggal presiden terbitkan dekrit  masing2 partai pengusung dapat jatah 1 cawapres  sama jokowi apa sih yang ga boleh perppu aja banyak diterbitkan tanpa ada urgensinya
neutral,1,mls aku dduk kl xleh aku org kg budaya kg dduk kl xleh budaya dia hebat sngt naik seram aku
negative,0,rt  dientot trus dicrotin beberapa kontol uuhh
negative,0,sepertinya kualat sama bobby mata gua kenapa jadi kecil sipit giniixf0x9fx98x82
neutral,1,franky mau presiden baru bagaimana yg lain
negative,0,ga pernah sekolah ya lo pantesnmulutnya ga di jaga kotorr kayansampah
neutral,1,njeng jahanam berisik cocot kalean
neutral,1,itu bukan persoalan tekan jabatan tetapi siasat lari dri lingkar politik antek pemilik modal krn islam progressive sesuai mukadimah uud akan mengamalkan qs al hujurat
neutral,1,tomohon juga merupakan pusat pembelajaran agama kristen dan katolik ada tempat khusus untuk berdoa dan meditasi yang disebut bukit kasih sebuah tempat suci yang indah dan tenang nn
neutral,1,anies congornya aja gede realisasinya gak ada janji terus dari awal bisanya paling korupsi balik jadi dosen aja bangsat
negative,0,udah kesel lah xf0x9fx98xbexf0x9fx98xbexf0x9fx98xbe kacrut tvri
neutral,1,mood kerja berubah krn ni banci xf0x9fx98x8exf0x9fx98xa3xf0x9fx98xa3xf0x9fx98xa3
negative,0,baru aja kemaren hari kamis sekarang udh hari jumat lagi aja waktu sesingkat itu ya
negative,0,pimpinan ngecopros bawahan nderomos jancuk deh
neutral,1,islam itu ideologi negara yg mengembannya wajib menyebarkannya dg dakwah amp jihad sama seperti as nyebarkan demokrasi amp ussr nyebarkan komunis karang dg jalan damai kadang dg perang dlm syariah itu ada hukum usyriyah amp kharajiyah
neutral,1,aduhternyata kamu salah paham yadlm islam kafir dibedakan menjadi 3 yakni kafir harbi muahid dan kafir dzimmi
positive,2,yg dibahas penangkapan ikan menggunakan potasracun dan sampah plastik kok bahas tugas tni al
negative,0,iya anjir dah
neutral,1,itu bisa terwujud dikarenakan katolik itu terpusatterstrukturteroganisasi dng sangat baik yakni berpusat pada vatikan jadi nu bisa mengambilmerebut peran seperti vatikan maka semua akan lebih mudah
positive,2,siapa bilang orang yang ngehina agama gak kena hukum pidana malah orang yang sebenarnya gak bermaksud menghina agama tapi mengucapkan kata yg membuat mayoritas tersinggung langsung dihujat dan dikenai hukum
neutral,1,kacung hanya terima perintahntidak terima kritikannsemoga itu bisa cukup menjelaskan pemimpin yang hanya simbol kacungnkacung yang dikacungkacung tetap terimankarena itulah kacung tumbur subur dan semerbak harum bunga bangkai
neutral,1,jika ada yg masih merindukan suharto mereka itu hanyalah kroni2nya mereka yg pernah kaya bersama rezim suharto dan mereka penjual bangsanya sendiri
negative,0,udah jadi rahasia umum bongnkoruptornrampoknpelaku maksiatnpelaku bisnis maksiatnkaum lgbtnpenjilatndukun sesatndukun cabulnbla bla blantergabung dlm bani cebong
neutral,1,walaupun matanya buta untuk melihat alam maya tapi hatinya tidak buta untuk menerima cahaya kebenaran alam
negative,0,cebong selalu ngk move on masuk aja kemako brimob juga
negative,0,aku jg serius pngen ngewe ama kamu swear
negative,0,teroris budha govt mengerahkan cyberarmy bikin hoax amp meretas akunakun prorohingya
neutral,1,kamar guru terus musholannnah kalau yang kristen pada berdoa di aula atas yang kristen ga terlalu banyaknnaku kan punya temen yang kristen sebut aja si a si a ini di mintain tolong sama guru buat ambilin casan laptopnyanndan tempatnya itu di
neutral,1,pks jadi partai pelacur beyek jadi germonnapakah pks tidak sadar bahwa beye otak dibalik kriminalisasi lhi politisi2 islam pengkhianatan kepada prabowohatta pencurangan pilpres 2014 penghancuran citra islam 20102018nnpks sdh disusupi antek be
neutral,1,dear  driver lo ada yang tukeran orang buat anter gw gw sih gak masalah asal pinter gak dongo muter2 cari rumah gw ini udah pake driver pengganti dongo buang waktu gw bgt buat nunggu taik
negative,0,yang mulai ngatain cebong juga kaum codotplaying victim much
negative,0,follback  gua baca dn lo kirain setan wakaka
